DATE,RRSFS_PC1,RSALES_PC1
1975-02-01,.,-2.42697
1975-03-01,.,-5.35389
1975-04-01,.,-5.07423
1975-05-01,.,-0.97336
1975-06-01,.,-1.25591
1975-07-01,.,-1.61634
1975-08-01,.,-2.48999
1975-09-01,.,0.75567
1975-10-01,.,2.62856
1975-11-01,.,3.85364
1975-12-01,.,7.36089
1976-01-01,.,6.57545
1976-02-01,.,4.72037
1976-03-01,.,8.07043
1976-04-01,.,8.90686
1976-05-01,.,2.89665
1976-06-01,.,5.37674
1976-07-01,.,4.94937
1976-08-01,.,3.11034
1976-09-01,.,3.13804
1976-10-01,.,4.02697
1976-11-01,.,4.42620
1976-12-01,.,5.77694
1977-01-01,.,2.31524
1977-02-01,.,4.53316
1977-03-01,.,4.36299
1977-04-01,.,3.43050
1977-05-01,.,4.02369
1977-06-01,.,2.48778
1977-07-01,.,2.93166
1977-08-01,.,3.43381
1977-09-01,.,4.08064
1977-10-01,.,4.61211
1977-11-01,.,4.68602
1977-12-01,.,2.28528
1978-01-01,.,0.85334
1978-02-01,.,1.45605
1978-03-01,.,2.97395
1978-04-01,.,3.81312
1978-05-01,.,4.30944
1978-06-01,.,5.26358
1978-07-01,.,3.11826
1978-08-01,.,4.44805
1978-09-01,.,3.87205
1978-10-01,.,3.23549
1978-11-01,.,4.04786
1978-12-01,.,4.83218
1979-01-01,.,6.03028
1979-02-01,.,3.89672
1979-03-01,.,3.05377
1979-04-01,.,0.09990
1979-05-01,.,0.29864
1979-06-01,.,-1.32309
1979-07-01,.,-1.44161
1979-08-01,.,0.52505
1979-09-01,.,1.00894
1979-10-01,.,-1.63711
1979-11-01,.,-2.28272
1979-12-01,.,-3.84992
1980-01-01,.,-1.73785
1980-02-01,.,-3.61717
1980-03-01,.,-7.29237
1980-04-01,.,-8.30871
1980-05-01,.,-9.06358
1980-06-01,.,-8.07723
1980-07-01,.,-4.82145
1980-08-01,.,-7.09121
1980-09-01,.,-7.60389
1980-10-01,.,-4.65313
1980-11-01,.,-5.13655
1980-12-01,.,-5.05798
1981-01-01,.,-4.36106
1981-02-01,.,-1.95168
1981-03-01,.,0.85794
1981-04-01,.,1.99303
1981-05-01,.,1.49957
1981-06-01,.,1.12719
1981-07-01,.,-1.14296
1981-08-01,.,-0.60166
1981-09-01,.,-1.46335
1981-10-01,.,-4.41136
1981-11-01,.,-4.74016
1981-12-01,.,-3.86334
1982-01-01,.,-6.53134
1982-02-01,.,-4.72878
1982-03-01,.,-5.52559
1982-04-01,.,-4.23764
1982-05-01,.,-2.73312
1982-06-01,.,-5.39558
1982-07-01,.,-3.90380
1982-08-01,.,-5.34002
1982-09-01,.,-2.71047
1982-10-01,.,-0.31801
1982-11-01,.,1.92687
1982-12-01,.,2.14794
1983-01-01,.,2.69469
1983-02-01,.,0.54434
1983-03-01,.,4.06423
1983-04-01,.,3.46331
1983-05-01,.,4.61514
1983-06-01,.,9.79201
1983-07-01,.,8.63586
1983-08-01,.,7.44144
1983-09-01,.,7.69767
1983-10-01,.,8.12272
1983-11-01,.,7.42774
1983-12-01,.,7.43553
1984-01-01,.,10.07659
1984-02-01,.,9.22080
1984-03-01,.,5.43709
1984-04-01,.,7.44455
1984-05-01,.,6.58839
1984-06-01,.,5.68519
1984-07-01,.,3.43456
1984-08-01,.,4.42925
1984-09-01,.,3.93946
1984-10-01,.,2.86557
1984-11-01,.,3.59276
1984-12-01,.,2.61953
1985-01-01,.,1.60538
1985-02-01,.,2.73655
1985-03-01,.,3.80681
1985-04-01,.,3.43955
1985-05-01,.,3.41998
1985-06-01,.,1.30536
1985-07-01,.,3.30880
1985-08-01,.,5.48162
1985-09-01,.,7.04691
1985-10-01,.,3.45277
1985-11-01,.,1.73025
1985-12-01,.,3.16245
1986-01-01,.,3.20116
1986-02-01,.,1.91376
1986-03-01,.,1.72468
1986-04-01,.,1.62966
1986-05-01,.,2.37196
1986-06-01,.,2.96535
1986-07-01,.,3.23400
1986-08-01,.,2.91239
1986-09-01,.,5.78196
1986-10-01,.,4.57912
1986-11-01,.,3.88277
1986-12-01,.,7.33652
1987-01-01,.,-0.72843
1987-02-01,.,4.63153
1987-03-01,.,5.12092
1987-04-01,.,4.45876
1987-05-01,.,2.95482
1987-06-01,.,4.18827
1987-07-01,.,4.33891
1987-08-01,.,4.84658
1987-09-01,.,-2.26235
1987-10-01,.,1.57727
1987-11-01,.,2.26773
1987-12-01,.,-0.74353
1988-01-01,.,6.66934
1988-02-01,.,2.48367
1988-03-01,.,3.64914
1988-04-01,.,2.18474
1988-05-01,.,3.12422
1988-06-01,.,2.22437
1988-07-01,.,1.67971
1988-08-01,.,0.40647
1988-09-01,.,1.34468
1988-10-01,.,3.75764
1988-11-01,.,4.24295
1988-12-01,.,3.53020
1989-01-01,.,3.86659
1989-02-01,.,1.62929
1989-03-01,.,0.24547
1989-04-01,.,2.44507
1989-05-01,.,1.98237
1989-06-01,.,1.62896
1989-07-01,.,1.95216
1989-08-01,.,3.39021
1989-09-01,.,3.81304
1989-10-01,.,0.40249
1989-11-01,.,0.37673
1989-12-01,.,-0.06340
1990-01-01,.,1.77538
1990-02-01,.,2.29380
1990-03-01,.,2.12589
1990-04-01,.,0.01778
1990-05-01,.,-0.51554
1990-06-01,.,0.03899
1990-07-01,.,-0.25722
1990-08-01,.,-2.13438
1990-09-01,.,-2.14745
1990-10-01,.,-0.88838
1990-11-01,.,-1.84955
1990-12-01,.,-2.96964
1991-01-01,.,-7.48928
1991-02-01,.,-4.94124
1991-03-01,.,-4.32005
1991-04-01,.,-2.62585
1991-05-01,.,-2.60464
1991-06-01,.,-2.93672
1991-07-01,.,-2.64417
1991-08-01,.,-3.13178
1991-09-01,.,-2.98306
1991-10-01,.,-3.44913
1991-11-01,.,-2.87914
1991-12-01,.,-2.06766
1992-01-01,.,2.38411
1992-02-01,.,1.61521
1992-03-01,.,0.28740
1992-04-01,.,-0.73024
1992-05-01,.,-0.06455
1992-06-01,.,0.16324
1992-07-01,.,-0.00261
1992-08-01,.,1.33047
1992-09-01,.,2.46370
1992-10-01,.,3.94955
1992-11-01,.,3.81846
1992-12-01,.,5.00948
1993-01-01,3.34932,3.42296
1993-02-01,2.47637,1.89911
1993-03-01,2.15888,2.00601
1993-04-01,4.02603,3.58697
1993-05-01,4.37544,4.26104
1993-06-01,4.15127,4.07342
1993-07-01,5.07207,4.86137
1993-08-01,4.71739,4.54609
1993-09-01,4.41790,3.95989
1993-10-01,4.31349,3.99843
1993-11-01,5.15124,4.87811
1993-12-01,4.73580,4.61369
1994-01-01,3.20082,3.61139
1994-02-01,5.59161,5.56818
1994-03-01,8.31330,7.39944
1994-04-01,5.92045,6.39800
1994-05-01,4.61308,4.51383
1994-06-01,5.76529,5.38780
1994-07-01,4.37553,4.32521
1994-08-01,5.49288,5.44173
1994-09-01,5.66364,5.29696
1994-10-01,6.34917,5.99652
1994-11-01,5.36831,4.91347
1994-12-01,4.94706,4.21332
1995-01-01,5.83643,5.46850
1995-02-01,2.55376,2.11447
1995-03-01,1.69000,1.60937
1995-04-01,1.72210,1.26177
1995-05-01,3.10021,3.05894
1995-06-01,3.26387,2.87322
1995-07-01,2.85780,3.09608
1995-08-01,2.59470,2.17607
1995-09-01,2.07533,2.11881
1995-10-01,0.55022,0.20680
1995-11-01,1.82177,1.17530
1995-12-01,2.24363,2.21664
1996-01-01,0.72423,0.68447
1996-02-01,4.03264,3.71981
1996-03-01,3.85992,3.74149
1996-04-01,3.84575,3.80405
1996-05-01,3.62891,3.12359
1996-06-01,2.25670,2.48633
1996-07-01,2.61010,2.50168
1996-08-01,1.89755,1.75783
1996-09-01,2.82819,2.63526
1996-10-01,4.03374,3.72251
1996-11-01,2.55744,2.59184
1996-12-01,2.06054,1.78825
1997-01-01,3.92496,3.30230
1997-02-01,3.19786,2.95239
1997-03-01,2.89204,2.40134
1997-04-01,2.14288,1.90943
1997-05-01,0.80912,0.22158
1997-06-01,2.33744,1.73943
1997-07-01,3.47773,2.83332
1997-08-01,3.61326,3.57675
1997-09-01,2.76120,2.38634
1997-10-01,1.84492,1.43825
1997-11-01,2.35433,2.17186
1997-12-01,2.40237,2.41668
1998-01-01,1.96432,1.95046
1998-02-01,1.31914,1.57248
1998-03-01,1.66045,2.14703
1998-04-01,3.57295,3.43428
1998-05-01,4.57975,5.34972
1998-06-01,4.02455,4.67499
1998-07-01,2.02619,2.56762
1998-08-01,1.44315,1.97025
1998-09-01,2.12006,3.18224
1998-10-01,3.98628,4.77296
